historical_country_Canada_indicator_Housing_Index copy
DateTime,Value
2001-01-31T00:00:00,58.7
2001-02-28T00:00:00,58.8
2001-03-31T00:00:00,59
2001-04-30T00:00:00,59.2
2001-05-31T00:00:00,59.3
2001-06-30T00:00:00,59.5
2001-07-31T00:00:00,59.6
2001-08-31T00:00:00,59.7
2001-09-30T00:00:00,59.9
2001-10-31T00:00:00,59.9
2001-11-30T00:00:00,60.1
2001-12-31T00:00:00,60.2
2002-01-31T00:00:00,60.4
2002-02-28T00:00:00,60.8
2002-03-31T00:00:00,61
2002-04-30T00:00:00,61.4
2002-05-31T00:00:00,61.8
2002-06-30T00:00:00,61.9
2002-07-31T00:00:00,62
2002-08-31T00:00:00,62.3
2002-09-30T00:00:00,62.4
2002-10-31T00:00:00,62.7
2002-11-30T00:00:00,63.1
2002-12-31T00:00:00,63.3
2003-01-31T00:00:00,63.4
2003-02-28T00:00:00,63.8
2003-03-31T00:00:00,63.9
2003-04-30T00:00:00,64.1
2003-05-31T00:00:00,64.5
2003-06-30T00:00:00,64.7
2003-07-31T00:00:00,64.9
2003-08-31T00:00:00,65.2
2003-09-30T00:00:00,65.5
2003-10-31T00:00:00,65.8
2003-11-30T00:00:00,66.3
2003-12-31T00:00:00,66.5
2004-01-31T00:00:00,66.7
2004-02-29T00:00:00,66.9
2004-03-31T00:00:00,67.2
2004-04-30T00:00:00,67.7
2004-05-31T00:00:00,68.2
2004-06-30T00:00:00,68.7
2004-07-31T00:00:00,68.8
2004-08-31T00:00:00,69.1
2004-09-30T00:00:00,69.3
2004-10-31T00:00:00,69.5
2004-11-30T00:00:00,69.8
2004-12-31T00:00:00,69.9
2005-01-31T00:00:00,70.1
2005-02-28T00:00:00,70.3
2005-03-31T00:00:00,70.6
2005-04-30T00:00:00,71
2005-05-31T00:00:00,71.3
2005-06-30T00:00:00,71.9
2005-07-31T00:00:00,72
2005-08-31T00:00:00,72.3
2005-09-30T00:00:00,72.7
2005-10-31T00:00:00,73.2
2005-11-30T00:00:00,73.6
2005-12-31T00:00:00,74.1
2006-01-31T00:00:00,74.7
2006-02-28T00:00:00,75.2
2006-03-31T00:00:00,76
2006-04-30T00:00:00,76.9
2006-05-31T00:00:00,77.8
2006-06-30T00:00:00,79
2006-07-31T00:00:00,79.8
2006-08-31T00:00:00,81
2006-09-30T00:00:00,81.4
2006-10-31T00:00:00,81.6
2006-11-30T00:00:00,82
2006-12-31T00:00:00,82
2007-01-31T00:00:00,82.3
2007-02-28T00:00:00,82.7
2007-03-31T00:00:00,83
2007-04-30T00:00:00,83.7
2007-05-31T00:00:00,84.6
2007-06-30T00:00:00,85.1
2007-07-31T00:00:00,85.9
2007-08-31T00:00:00,86.3
2007-09-30T00:00:00,86.5
2007-10-31T00:00:00,86.6
2007-11-30T00:00:00,87
2007-12-31T00:00:00,87.1
2008-01-31T00:00:00,87.6
2008-02-29T00:00:00,87.9
2008-03-31T00:00:00,88.1
2008-04-30T00:00:00,88.1
2008-05-31T00:00:00,88.1
2008-06-30T00:00:00,88.2
2008-07-31T00:00:00,88.2
2008-08-31T00:00:00,88.2
2008-09-30T00:00:00,88.3
2008-10-31T00:00:00,87.9
2008-11-30T00:00:00,87.7
2008-12-31T00:00:00,87.5
2009-01-31T00:00:00,87
2009-02-28T00:00:00,86.4
2009-03-31T00:00:00,86
2009-04-30T00:00:00,85.5
2009-05-31T00:00:00,85.4
2009-06-30T00:00:00,85.2
2009-07-31T00:00:00,85.4
2009-08-31T00:00:00,85.5
2009-09-30T00:00:00,85.9
2009-10-31T00:00:00,86.1
2009-11-30T00:00:00,86.4
2009-12-31T00:00:00,86.7
2010-01-31T00:00:00,87.1
2010-02-28T00:00:00,87.1
2010-03-31T00:00:00,87.4
2010-04-30T00:00:00,87.6
2010-05-31T00:00:00,87.9
2010-06-30T00:00:00,88
2010-07-31T00:00:00,87.9
2010-08-31T00:00:00,88
2010-09-30T00:00:00,88.1
2010-10-31T00:00:00,88.2
2010-11-30T00:00:00,88.4
2010-12-31T00:00:00,88.4
2011-01-31T00:00:00,88.6
2011-02-28T00:00:00,89
2011-03-31T00:00:00,89
2011-04-30T00:00:00,89.2
2011-05-31T00:00:00,89.6
2011-06-30T00:00:00,89.8
2011-07-31T00:00:00,89.9
2011-08-31T00:00:00,90
2011-09-30T00:00:00,90.1
2011-10-31T00:00:00,90.3
2011-11-30T00:00:00,90.6
2011-12-31T00:00:00,90.7
2012-01-31T00:00:00,90.8
2012-02-29T00:00:00,91
2012-03-31T00:00:00,91.3
2012-04-30T00:00:00,91.5
2012-05-31T00:00:00,91.7
2012-06-30T00:00:00,91.9
2012-07-31T00:00:00,92
2012-08-31T00:00:00,92.1
2012-09-30T00:00:00,92.3
2012-10-31T00:00:00,92.5
2012-11-30T00:00:00,92.6
2012-12-31T00:00:00,92.7
2013-01-31T00:00:00,92.8
2013-02-28T00:00:00,93
2013-03-31T00:00:00,93
2013-04-30T00:00:00,93.2
2013-05-31T00:00:00,93.4
2013-06-30T00:00:00,93.5
2013-07-31T00:00:00,93.6
2013-08-31T00:00:00,93.7
2013-09-30T00:00:00,93.8
2013-10-31T00:00:00,93.8
2013-11-30T00:00:00,93.9
2013-12-31T00:00:00,93.9
2014-01-31T00:00:00,94.1
2014-02-28T00:00:00,94.4
2014-03-31T00:00:00,94.5
2014-04-30T00:00:00,94.7
2014-05-31T00:00:00,94.8
2014-06-30T00:00:00,94.9
2014-07-31T00:00:00,94.9
2014-08-31T00:00:00,95.2
2014-09-30T00:00:00,95.3
2014-10-31T00:00:00,95.4
2014-11-30T00:00:00,95.5
2014-12-31T00:00:00,95.5
2015-01-31T00:00:00,95.5
2015-02-28T00:00:00,95.6
2015-03-31T00:00:00,95.7
2015-04-30T00:00:00,95.7
2015-05-31T00:00:00,95.9
2015-06-30T00:00:00,96.1
2015-07-31T00:00:00,96.2
2015-08-31T00:00:00,96.5
2015-09-30T00:00:00,96.6
2015-10-31T00:00:00,96.8
2015-11-30T00:00:00,96.9
2015-12-31T00:00:00,97
2016-01-31T00:00:00,97.1
2016-02-29T00:00:00,97.3
2016-03-31T00:00:00,97.5
2016-04-30T00:00:00,97.7
2016-05-31T00:00:00,98.5
2016-06-30T00:00:00,98.6
2016-07-31T00:00:00,99
2016-08-31T00:00:00,99.1
2016-09-30T00:00:00,99.3
2016-10-31T00:00:00,99.7
2016-11-30T00:00:00,99.9
2016-12-31T00:00:00,100
2017-01-31T00:00:00,100.1
2017-02-28T00:00:00,100.5
2017-03-31T00:00:00,100.7
2017-04-30T00:00:00,101.5
2017-05-31T00:00:00,102.2
2017-06-30T00:00:00,102.4
2017-07-31T00:00:00,102.8
2017-08-31T00:00:00,102.9
2017-09-30T00:00:00,103.1
2017-10-31T00:00:00,103.2
2017-11-30T00:00:00,103.3
2017-12-31T00:00:00,103.3
2018-01-31T00:00:00,103.3
2018-02-28T00:00:00,103.1
2018-03-31T00:00:00,103.1
2018-04-30T00:00:00,103.1
2018-05-31T00:00:00,103.1
2018-06-30T00:00:00,103.2
2018-07-31T00:00:00,103.3
2018-08-31T00:00:00,103.3
2018-09-30T00:00:00,103.3
2018-10-31T00:00:00,103.3
2018-11-30T00:00:00,103.3
2018-12-31T00:00:00,103.3
2019-01-31T00:00:00,103.2
2019-02-28T00:00:00,103.2
2019-03-31T00:00:00,103.2
2019-04-30T00:00:00,103.2
2019-05-31T00:00:00,103.1
2019-06-30T00:00:00,103
2019-07-31T00:00:00,102.9
2019-08-31T00:00:00,103
2019-09-30T00:00:00,103.2
2019-10-31T00:00:00,103.3
2019-11-30T00:00:00,103.2
2019-12-31T00:00:00,103.4
2020-01-31T00:00:00,103.4
2020-02-29T00:00:00,103.8
2020-03-31T00:00:00,104.1
2020-04-30T00:00:00,104.1
2020-05-31T00:00:00,104.2
2020-06-30T00:00:00,104.3
2020-07-31T00:00:00,104.7
2020-08-31T00:00:00,105.2
2020-09-30T00:00:00,106.5
2020-10-31T00:00:00,107.3
2020-11-30T00:00:00,107.9
2020-12-31T00:00:00,108.2
2021-01-31T00:00:00,109
2021-02-28T00:00:00,111.1
2021-03-31T00:00:00,112.3
2021-04-30T00:00:00,114.4
2021-05-31T00:00:00,116
2021-06-30T00:00:00,116.7
2021-07-31T00:00:00,117.2
2021-08-31T00:00:00,118
