Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Canada,Households Debt To Income,1990-03-31T00:00:00,83.56,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,1990-06-30T00:00:00,85.29,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,1990-09-30T00:00:00,85.09,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,1990-12-31T00:00:00,85.03,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,1991-03-31T00:00:00,84.53,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,1991-06-30T00:00:00,85.18,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,1991-09-30T00:00:00,86.1,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,1991-12-31T00:00:00,86.35,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,1992-03-31T00:00:00,86.54,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,1992-06-30T00:00:00,87.03,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,1992-09-30T00:00:00,87.18,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,1992-12-31T00:00:00,88.42,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,1993-03-31T00:00:00,87.55,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,1993-06-30T00:00:00,87.85,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,1993-09-30T00:00:00,88.68,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,1993-12-31T00:00:00,89.16,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,1994-03-31T00:00:00,89.31,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,1994-06-30T00:00:00,90.67,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,1994-09-30T00:00:00,91.51,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,1994-12-31T00:00:00,92.61,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,1995-03-31T00:00:00,92.26,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,1995-06-30T00:00:00,92.52,Quarterly,CANADAHDTI,2020-09-22T10:14:00
Canada,Households Debt To Income,1995-09-30T00:00:00,93.64,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,1995-12-31T00:00:00,93.82,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,1996-03-31T00:00:00,94.21,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,1996-06-30T00:00:00,95.65,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,1996-09-30T00:00:00,96.29,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,1996-12-31T00:00:00,96.98,Quarterly,CANADAHDTI,2019-06-13T15:17:00
Canada,Households Debt To Income,1997-03-31T00:00:00,97.49,Quarterly,CANADAHDTI,2019-06-13T15:17:00
