Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Canada,Housing Index,1981-01-31T00:00:00,38.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1981-02-28T00:00:00,38.7,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1981-03-31T00:00:00,39.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1981-04-30T00:00:00,39.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1981-05-31T00:00:00,40.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1981-06-30T00:00:00,40.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1981-07-31T00:00:00,40.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1981-08-31T00:00:00,40.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1981-09-30T00:00:00,40.4,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1981-10-31T00:00:00,40.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1981-11-30T00:00:00,40.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1981-12-31T00:00:00,40.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1982-01-31T00:00:00,40.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1982-02-28T00:00:00,40.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1982-03-31T00:00:00,40.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1982-04-30T00:00:00,39.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1982-05-31T00:00:00,39.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1982-06-30T00:00:00,39.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1982-07-31T00:00:00,39,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1982-08-31T00:00:00,38.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1982-09-30T00:00:00,38.4,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1982-10-31T00:00:00,38.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1982-11-30T00:00:00,38,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1982-12-31T00:00:00,37.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1983-01-31T00:00:00,37.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1983-02-28T00:00:00,37.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1983-03-31T00:00:00,37.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1983-04-30T00:00:00,37.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1983-05-31T00:00:00,37.7,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1983-06-30T00:00:00,37.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1983-07-31T00:00:00,37.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1983-08-31T00:00:00,38,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1983-09-30T00:00:00,38,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1983-10-31T00:00:00,37.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1983-11-30T00:00:00,38,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1983-12-31T00:00:00,37.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1984-01-31T00:00:00,38,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1984-02-29T00:00:00,38,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1984-03-31T00:00:00,38.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1984-04-30T00:00:00,38.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1984-05-31T00:00:00,38.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1984-06-30T00:00:00,38.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1984-07-31T00:00:00,38.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1984-08-31T00:00:00,38,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1984-09-30T00:00:00,37.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1984-10-31T00:00:00,37.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1984-11-30T00:00:00,37.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1984-12-31T00:00:00,37.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1985-01-31T00:00:00,38,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1985-02-28T00:00:00,38,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1985-03-31T00:00:00,38.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1985-04-30T00:00:00,38.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1985-05-31T00:00:00,38.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1985-06-30T00:00:00,38.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1985-07-31T00:00:00,38.4,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1985-08-31T00:00:00,38.5,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1985-09-30T00:00:00,38.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1985-10-31T00:00:00,38.9,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1985-11-30T00:00:00,39.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1985-12-31T00:00:00,39.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-01-31T00:00:00,39.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-02-28T00:00:00,40.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-03-31T00:00:00,40.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-04-30T00:00:00,40.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-05-31T00:00:00,41.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-06-30T00:00:00,41.3,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-07-31T00:00:00,41.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-08-31T00:00:00,42,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-09-30T00:00:00,42.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-10-31T00:00:00,43.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-11-30T00:00:00,43.8,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1986-12-31T00:00:00,44,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1987-01-31T00:00:00,44.4,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1987-02-28T00:00:00,45.2,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1987-03-31T00:00:00,46.6,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1987-04-30T00:00:00,47.1,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1987-05-31T00:00:00,47.5,Monthly,CANADAHOUIND,2017-03-09T15:08:00
Canada,Housing Index,1987-06-30T00:00:00,47.7,Monthly,CANADAHOUIND,2017-03-09T15:08:00
